species,decimallat,decimallon
Papilio machaon,50.70888,3.31866
Papilio machaon,50.74238,4.66536
Papilio machaon,50.74522,4.45283
Papilio machaon,50.74608,4.38198
Papilio machaon,50.7469,4.31113
Papilio machaon,50.74768,4.24028
Papilio machaon,50.74841,4.16942
Papilio machaon,50.75271,3.60248
Papilio machaon,50.75306,3.5316
Papilio machaon,50.75362,3.38984
Papilio machaon,50.75363,3.38985
Papilio machaon,50.75414,2.82279
Papilio machaon,50.77357,5.44659
Papilio machaon,50.78172,5.0214
Papilio machaon,50.78293,4.95053
Papilio machaon,50.78409,4.87963
Papilio machaon,50.78521,4.80874
Papilio machaon,50.78732,4.66695
Papilio machaon,50.78832,4.59604
Papilio machaon,50.78927,4.52514
Papilio machaon,50.79103,4.38331
Papilio machaon,50.79336,4.17054
Papilio machaon,50.79802,3.53211
Papilio machaon,50.79832,3.46116
Papilio machaon,50.79858,3.39022
Papilio machaon,50.79897,3.24832
Papilio machaon,50.7991,2.82262
Papilio machaon,50.79911,3.17738
Papilio machaon,50.79919,3.10643
Papilio machaon,50.81383,5.66165
Papilio machaon,50.81543,5.59075
Papilio machaon,50.82665,5.02334
Papilio machaon,50.82786,4.95239
Papilio machaon,50.82787,4.9524
Papilio machaon,50.82903,4.88144
Papilio machaon,50.83015,4.81048
Papilio machaon,50.83227,4.66855
Papilio machaon,50.83228,4.66855
Papilio machaon,50.83326,4.59758
Papilio machaon,50.83512,4.45562
Papilio machaon,50.83598,4.38464
Papilio machaon,50.8368,4.31365
Papilio machaon,50.83758,4.24266
Papilio machaon,50.83832,4.17167
Papilio machaon,50.83966,4.02968
Papilio machaon,50.84226,3.67465
Papilio machaon,50.84329,3.46161
Papilio machaon,50.84376,2.68042
Papilio machaon,50.84393,3.24856
Papilio machaon,50.84406,3.17754
Papilio machaon,50.84415,3.10652
Papilio machaon,50.87509,4.81222
Papilio machaon,50.87618,4.74119
Papilio machaon,50.87721,4.67015
Papilio machaon,50.87821,4.59911
Papilio machaon,50.88093,4.38597
Papilio machaon,50.88176,4.31492
Papilio machaon,50.88254,4.24386
Papilio machaon,50.88396,4.10173
Papilio machaon,50.88578,3.88852
Papilio machaon,50.88678,3.74637
Papilio machaon,50.88721,3.67529
Papilio machaon,50.8876,3.60421
Papilio machaon,50.88872,3.31988
Papilio machaon,50.88911,3.10663
Papilio machaon,50.88916,3.03554
Papilio machaon,50.9,4.42
Papilio machaon,50.90366,5.66677
Papilio machaon,50.90981,5.38259
Papilio machaon,50.91263,5.24047
Papilio machaon,50.91891,4.88506
Papilio machaon,50.92112,4.74287
Papilio machaon,50.92216,4.67176
Papilio machaon,50.92315,4.60065
Papilio machaon,50.92411,4.52954
Papilio machaon,50.92957,4.03166
Papilio machaon,50.93217,3.67594
Papilio machaon,50.93218,3.67595
Papilio machaon,50.93386,3.24904
Papilio machaon,50.95174,5.52713
Papilio machaon,50.95326,5.45601
Papilio machaon,50.95617,5.31377
Papilio machaon,50.95891,5.1715
Papilio machaon,50.96146,5.0292
Papilio machaon,50.96268,4.95805
Papilio machaon,50.96497,4.81572
Papilio machaon,50.96606,4.74455
Papilio machaon,50.96997,4.45983
Papilio machaon,50.97166,4.31746
Papilio machaon,50.97904,3.10683
Papilio machaon,51.00109,5.316
Papilio machaon,51.00248,5.2448
Papilio machaon,51.00639,5.03116
Papilio machaon,51.00761,4.95993
Papilio machaon,51.00878,4.88871
Papilio machaon,51.01204,4.67499
Papilio machaon,51.01883,4.10492
Papilio machaon,51.02065,3.8911
Papilio machaon,51.02248,3.60597
Papilio machaon,51.02313,3.46339
Papilio machaon,51.02339,3.3921
Papilio machaon,51.02392,2.82176
Papilio machaon,51.024,3.10693
Papilio machaon,51.04001,5.60326
Papilio machaon,51.04741,5.24697
Papilio machaon,51.05372,4.89053
Papilio machaon,51.05485,4.81923
Papilio machaon,51.05594,4.74792
Papilio machaon,51.05699,4.67661
Papilio machaon,51.05799,4.6053
Papilio machaon,51.06234,4.24867
Papilio machaon,51.06379,4.106
Papilio machaon,51.06504,3.96331
Papilio machaon,51.06705,3.67791
Papilio machaon,51.06809,3.46384
Papilio machaon,51.06857,3.32112
Papilio machaon,51.09094,5.32049
Papilio machaon,51.09234,5.24915
Papilio machaon,51.095,5.10645
Papilio machaon,51.09627,5.0351
Papilio machaon,51.09749,4.96374
Papilio machaon,51.09866,4.89237
Papilio machaon,51.09867,4.89237
Papilio machaon,51.09979,4.82099
Papilio machaon,51.10088,4.74962
Papilio machaon,51.10193,4.67824
Papilio machaon,51.10194,4.67824
Papilio machaon,51.10804,4.17848
Papilio machaon,51.10873,4.10707
Papilio machaon,51.10874,4.10707
Papilio machaon,51.11,3.96424
Papilio machaon,51.11057,3.89283
Papilio machaon,51.11275,3.53572
Papilio machaon,51.11305,3.46429
Papilio machaon,51.11353,2.67856
Papilio machaon,51.12487,5.82243
Papilio machaon,51.12984,5.60831
Papilio machaon,51.13443,5.39414
Papilio machaon,51.13727,5.25133
Papilio machaon,51.14242,4.96564
Papilio machaon,51.14687,4.67987
Papilio machaon,51.14688,4.67987
Papilio machaon,51.14788,4.60842
Papilio machaon,51.14884,4.53696
Papilio machaon,51.14976,4.4655
Papilio machaon,51.15225,4.2511
Papilio machaon,51.15299,4.17962
Papilio machaon,51.15801,3.46474
Papilio machaon,51.15849,3.32174
Papilio machaon,51.15867,2.74974
Papilio machaon,51.1588,3.17875
Papilio machaon,51.15889,3.10725
Papilio machaon,51.18486,5.11054
Papilio machaon,51.18613,5.03905
Papilio machaon,51.18735,4.96755
Papilio machaon,51.18967,4.82454
Papilio machaon,51.19181,4.6815
Papilio machaon,51.19282,4.60998
Papilio machaon,51.1947,4.46692
Papilio machaon,51.19558,4.39539
Papilio machaon,51.19641,4.32385
Papilio machaon,51.20363,3.25049
Papilio machaon,51.20376,2.82107
Papilio machaon,51.22125,5.54187
Papilio machaon,51.22848,5.18416
Papilio machaon,51.22979,5.1126
Papilio machaon,51.23461,4.82632
Papilio machaon,51.23965,4.46835
Papilio machaon,51.24872,3.17909
Papilio machaon,51.2677,5.47275
Papilio machaon,51.2734,5.18629
Papilio machaon,51.27341,5.18629
Papilio machaon,51.27472,5.11466
Papilio machaon,51.2846,4.46979
Papilio machaon,51.31965,5.11673
Papilio machaon,51.32215,4.97331
Papilio machaon,51.32334,4.9016
Papilio machaon,51.32448,4.82988
Papilio machaon,51.33833,3.323
Papilio machaon,51.36828,4.90346
Papilio machaon,51.36942,4.83167
Papilio machaon,51.3833,3.32332
Papilio machaon,51.41202,4.97718
Papilio machaon,51.42031,4.40222
Papilio machaon,51.45572,5.05105
Papilio machaon,51.45814,4.9072
